"Fap3","annee","Pourcentage","Horaire_atypique","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"A0Z42","2017-2019",22.31,"Travail le samedi","Bûcherons, sylviculteurs salariés et agents forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z42","2017-2019",7.63,"Travail de nuit","Bûcherons, sylviculteurs salariés et agents forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z42","2017-2019",14.02,"Travail le dimanche","Bûcherons, sylviculteurs salariés et agents forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"C0Z20","2017-2019",10.27,"Travail le samedi","C0Z20","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"C0Z20","2017-2019",12.34,"Travail de nuit","C0Z20","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"C0Z20","2017-2019",4.47,"Travail le dimanche","C0Z20","C","Électricité, électronique","C0Z","Ouvriers non qualifiés de l'électricité et de l'électronique"
"C1Z40","2017-2019",15.3,"Travail le samedi","C1Z40","C","Électricité, électronique","C1Z","Ouvriers qualifiés de l'électricité et de l'électronique"
"C1Z40","2017-2019",18.02,"Travail de nuit","C1Z40","C","Électricité, électronique","C1Z","Ouvriers qualifiés de l'électricité et de l'électronique"
"C1Z40","2017-2019",6.12,"Travail le dimanche","C1Z40","C","Électricité, électronique","C1Z","Ouvriers qualifiés de l'électricité et de l'électronique"
"P2Z90","2017-2019",20.51,"Travail le samedi","Cadres A de la fonction publique (hors spécialités juridiques) et assimilés","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z90","2017-2019",4.27,"Travail de nuit","Cadres A de la fonction publique (hors spécialités juridiques) et assimilés","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z90","2017-2019",13.08,"Travail le dimanche","Cadres A de la fonction publique (hors spécialités juridiques) et assimilés","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"L5Z90","2017-2019",25.23,"Travail le samedi","Cadres administratifs, comptables et financiers (hors juristes)","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z90","2017-2019",5.33,"Travail de nuit","Cadres administratifs, comptables et financiers (hors juristes)","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z90","2017-2019",15.04,"Travail le dimanche","Cadres administratifs, comptables et financiers (hors juristes)","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"R4Z","2017-2019",31.95,"Travail le samedi","Cadres commerciaux et technico-commerciaux","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z","2017-2019",3.67,"Travail de nuit","Cadres commerciaux et technico-commerciaux","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z","2017-2019",13.62,"Travail le dimanche","Cadres commerciaux et technico-commerciaux","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z90","2017-2019",22.39,"Travail le samedi","Cadres commerciaux, acheteurs et cadres de la mercatique","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z90","2017-2019",3.21,"Travail de nuit","Cadres commerciaux, acheteurs et cadres de la mercatique","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z90","2017-2019",12.18,"Travail le dimanche","Cadres commerciaux, acheteurs et cadres de la mercatique","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"P2Z92","2017-2019",48.76,"Travail le samedi","Cadres de l'armée et de la gendarmerie","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z92","2017-2019",34.72,"Travail de nuit","Cadres de l'armée et de la gendarmerie","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z92","2017-2019",41.86,"Travail le dimanche","Cadres de l'armée et de la gendarmerie","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"S3Z90","2017-2019",55.95,"Travail le samedi","Cadres de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"S3Z90","2017-2019",15.4,"Travail de nuit","Cadres de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"S3Z90","2017-2019",37.98,"Travail le dimanche","Cadres de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S3Z","Patrons et cadres d'hôtels, cafés, restaurants"
"P2Z91","2017-2019",28.53,"Travail le samedi","Cadres de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z91","2017-2019",7.86,"Travail de nuit","Cadres de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z91","2017-2019",6.72,"Travail le dimanche","Cadres de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"Q2Z90","2017-2019",25.25,"Travail le samedi","Cadres de la banque","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z90","2017-2019",2.56,"Travail de nuit","Cadres de la banque","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z90","2017-2019",7.83,"Travail le dimanche","Cadres de la banque","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z","2017-2019",22.97,"Travail le samedi","Cadres de la banque et des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z","2017-2019",2.86,"Travail de nuit","Cadres de la banque et des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z","2017-2019",7.57,"Travail le dimanche","Cadres de la banque et des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"U0Z90","2017-2019",23.6,"Travail le samedi","Cadres de la communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z90","2017-2019",5.37,"Travail de nuit","Cadres de la communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z90","2017-2019",14.69,"Travail le dimanche","Cadres de la communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"P2Z","2017-2019",22.54,"Travail le samedi","Cadres de la fonction publique (catégorie A et assimilés)","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z","2017-2019",6.26,"Travail de nuit","Cadres de la fonction publique (catégorie A et assimilés)","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"P2Z","2017-2019",14.55,"Travail le dimanche","Cadres de la fonction publique (catégorie A et assimilés)","P","Administration publique, professions juridiques, armée et police","P2Z","Cadres de la fonction publique (catégorie A et assimilés)"
"Q2Z91","2017-2019",18.69,"Travail le samedi","Cadres des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z91","2017-2019",3.44,"Travail de nuit","Cadres des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"Q2Z91","2017-2019",7.09,"Travail le dimanche","Cadres des assurances","Q","Banque et assurances","Q2Z","Cadres de la banque et des assurances"
"R4Z92","2017-2019",71.45,"Travail le samedi","Cadres des magasins","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z92","2017-2019",3.92,"Travail de nuit","Cadres des magasins","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z92","2017-2019",26.45,"Travail le dimanche","Cadres des magasins","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"L5Z92","2017-2019",19.88,"Travail le samedi","Cadres des ressources humaines et du recrutement","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z92","2017-2019",3.05,"Travail de nuit","Cadres des ressources humaines et du recrutement","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z92","2017-2019",12.46,"Travail le dimanche","Cadres des ressources humaines et du recrutement","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z","2017-2019",23.77,"Travail le samedi","Cadres des services administratifs, comptables et financiers","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z","2017-2019",4.82,"Travail de nuit","Cadres des services administratifs, comptables et financiers","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"L5Z","2017-2019",14.23,"Travail le dimanche","Cadres des services administratifs, comptables et financiers","L","Gestion, administration des entreprises","L5Z","Cadres des services administratifs, comptables et financiers"
"J6Z90","2017-2019",26.76,"Travail le samedi","Cadres des transports","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z90","2017-2019",11.81,"Travail de nuit","Cadres des transports","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z90","2017-2019",19.52,"Travail le dimanche","Cadres des transports","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z","2017-2019",31.64,"Travail le samedi","Cadres des transports, de la logistique et navigants de l'aviation","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z","2017-2019",18.96,"Travail de nuit","Cadres des transports, de la logistique et navigants de l'aviation","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"J6Z","2017-2019",23.22,"Travail le dimanche","Cadres des transports, de la logistique et navigants de l'aviation","J","Transports, logistique et tourisme","J6Z","Cadres des transports, de la logistique et navigants de l'aviation"
"L6Z90","2017-2019",49.57,"Travail le samedi","Cadres dirigeants des grandes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z90","2017-2019",3.04,"Travail de nuit","Cadres dirigeants des grandes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z90","2017-2019",18.7,"Travail le dimanche","Cadres dirigeants des grandes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"B7Z","2017-2019",27.94,"Travail le samedi","Cadres du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z","2017-2019",5.9,"Travail de nuit","Cadres du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z","2017-2019",13.18,"Travail le dimanche","Cadres du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"A3Z90","2017-2019",NA,"Travail le samedi","Cadres et maîtres d'équipage de la marine","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"A3Z90","2017-2019",NA,"Travail de nuit","Cadres et maîtres d'équipage de la marine","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"A3Z90","2017-2019",NA,"Travail le dimanche","Cadres et maîtres d'équipage de la marine","A","Agriculture, marine, pêche","A3Z","Marins, pêcheurs, aquaculteurs"
"U0Z91","2017-2019",NA,"Travail le samedi","Cadres et techniciens de la documentation","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z91","2017-2019",NA,"Travail de nuit","Cadres et techniciens de la documentation","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z91","2017-2019",NA,"Travail le dimanche","Cadres et techniciens de la documentation","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"P4Z80","2017-2019",55.55,"Travail le samedi","Cadres intermédiaires de la police et de l'armée","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z80","2017-2019",40.99,"Travail de nuit","Cadres intermédiaires de la police et de l'armée","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z80","2017-2019",53.47,"Travail le dimanche","Cadres intermédiaires de la police et de l'armée","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"H0Z91","2017-2019",25.48,"Travail le samedi","Cadres techniques de la maintenance et de l'environnement","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"H0Z91","2017-2019",10.98,"Travail de nuit","Cadres techniques de la maintenance et de l'environnement","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"H0Z91","2017-2019",19.2,"Travail le dimanche","Cadres techniques de la maintenance et de l'environnement","H","Ingénieurs et cadres de l'industrie","H0Z","Ingénieurs et cadres techniques de l'industrie"
"R0Z61","2017-2019",85.55,"Travail le samedi","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z61","2017-2019",3.23,"Travail de nuit","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z61","2017-2019",33.92,"Travail le dimanche","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",79.43,"Travail le samedi","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",4.92,"Travail de nuit","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",27.1,"Travail le dimanche","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"G0B40","2017-2019",14.99,"Travail le samedi","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"G0B40","2017-2019",0.46,"Travail de nuit","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"G0B40","2017-2019",1.36,"Travail le dimanche","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"S0Z41","2017-2019",NA,"Travail le samedi","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z41","2017-2019",NA,"Travail de nuit","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z41","2017-2019",NA,"Travail le dimanche","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B2Z43","2017-2019",5.76,"Travail le samedi","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z43","2017-2019",0,"Travail de nuit","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z43","2017-2019",1,"Travail le dimanche","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",NA,"Travail le samedi","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",NA,"Travail de nuit","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",NA,"Travail le dimanche","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"D2Z40","2017-2019",20.56,"Travail le samedi","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"D2Z40","2017-2019",4.15,"Travail de nuit","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"D2Z40","2017-2019",5,"Travail le dimanche","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"S1Z80","2017-2019",51.7,"Travail le samedi","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z80","2017-2019",7.12,"Travail de nuit","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z80","2017-2019",33.76,"Travail le dimanche","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"B6Z73","2017-2019",12.21,"Travail le samedi","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z73","2017-2019",5.74,"Travail de nuit","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z73","2017-2019",4.75,"Travail le dimanche","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"N0Z91","2017-2019",31.87,"Travail le samedi","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"N0Z91","2017-2019",6.44,"Travail de nuit","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"N0Z91","2017-2019",22.47,"Travail le dimanche","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"X0Z01","2017-2019",NA,"Travail le samedi","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"X0Z01","2017-2019",NA,"Travail de nuit","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"X0Z01","2017-2019",NA,"Travail le dimanche","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"T0Z","2017-2019",88.84,"Travail le samedi","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z","2017-2019",0.62,"Travail de nuit","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z","2017-2019",5.76,"Travail le dimanche","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"R","2017-2019",56.72,"Travail le samedi","Commerce","R","Commerce",NA,NA
"R","2017-2019",3.58,"Travail de nuit","Commerce","R","Commerce",NA,NA
"R","2017-2019",20.32,"Travail le dimanche","Commerce","R","Commerce",NA,NA
"U","2017-2019",47.39,"Travail le samedi","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"U","2017-2019",13.75,"Travail de nuit","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"U","2017-2019",30.94,"Travail le dimanche","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"T3Z60","2017-2019",61.9,"Travail le samedi","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z60","2017-2019",3.83,"Travail de nuit","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z60","2017-2019",7.94,"Travail le dimanche","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"A0Z43","2017-2019",NA,"Travail le samedi","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z43","2017-2019",NA,"Travail de nuit","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z43","2017-2019",NA,"Travail le dimanche","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"B5Z","2017-2019",13.18,"Travail le samedi","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z","2017-2019",7.12,"Travail de nuit","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z","2017-2019",6.84,"Travail le dimanche","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"J3Z41","2017-2019",63.61,"Travail le samedi","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z41","2017-2019",20.91,"Travail de nuit","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z41","2017-2019",43.24,"Travail le dimanche","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",45.79,"Travail le samedi","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",26.36,"Travail de nuit","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",23.4,"Travail le dimanche","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",65.69,"Travail le samedi","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",26.14,"Travail de nuit","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",43.33,"Travail le dimanche","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",37.97,"Travail le samedi","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",16.55,"Travail de nuit","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",11.63,"Travail le dimanche","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",34.64,"Travail le samedi","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",31.75,"Travail de nuit","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",12.51,"Travail le dimanche","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",70.41,"Travail le samedi","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",56.18,"Travail de nuit","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",63.7,"Travail le dimanche","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"P1Z80","2017-2019",5.65,"Travail le samedi","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z80","2017-2019",3.49,"Travail de nuit","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z80","2017-2019",5.44,"Travail le dimanche","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"J4Z60","2017-2019",NA,"Travail le samedi","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z60","2017-2019",NA,"Travail de nuit","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z60","2017-2019",NA,"Travail le dimanche","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"B2Z44","2017-2019",21.48,"Travail le samedi","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z44","2017-2019",4.52,"Travail de nuit","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z44","2017-2019",6.66,"Travail le dimanche","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"S1Z","2017-2019",59.05,"Travail le samedi","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z","2017-2019",7.66,"Travail de nuit","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z","2017-2019",42.62,"Travail le dimanche","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",59.56,"Travail le samedi","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",7.15,"Travail de nuit","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",42.57,"Travail le dimanche","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"D0Z20","2017-2019",16.43,"Travail le samedi","D0Z20","D","Mécanique, travail des métaux","D0Z","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal"
"D0Z20","2017-2019",19.09,"Travail de nuit","D0Z20","D","Mécanique, travail des métaux","D0Z","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal"
"D0Z20","2017-2019",2.19,"Travail le dimanche","D0Z20","D","Mécanique, travail des métaux","D0Z","Ouvriers non qualifiés travaillant par enlèvement ou formage de métal"
"V2Z91","2017-2019",41.51,"Travail le samedi","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z91","2017-2019",1.08,"Travail de nuit","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z91","2017-2019",3.02,"Travail le dimanche","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"B6Z72","2017-2019",1.66,"Travail le samedi","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z72","2017-2019",3.08,"Travail de nuit","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z72","2017-2019",1.94,"Travail le dimanche","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"D6Z71","2017-2019",1.35,"Travail le samedi","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z71","2017-2019",0.7,"Travail de nuit","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z71","2017-2019",0.45,"Travail le dimanche","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
