"Fap","annee","Pourcentage","Temps_travail","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"R0Z61","2017-2019",15.77,"dont sous-emploi","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z61","2017-2019",5.07,"Temps complet travaillant plus de 40h par semaine","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z61","2017-2019",55.45,"Temps partiel","Caissiers","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",12.95,"dont sous-emploi","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",6.02,"Temps complet travaillant plus de 40h par semaine","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z","2017-2019",43.45,"Temps partiel","Caissiers, employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"G0B40","2017-2019",0.76,"dont sous-emploi","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"G0B40","2017-2019",24.87,"Temps complet travaillant plus de 40h par semaine","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"G0B40","2017-2019",3.38,"Temps partiel","Carrossiers automobiles","G","Maintenance","G0B","Ouvriers qualifiés de la réparation automobile"
"S0Z41","2017-2019",7.73,"dont sous-emploi","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z41","2017-2019",53.24,"Temps complet travaillant plus de 40h par semaine","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z41","2017-2019",14.78,"Temps partiel","Charcutiers, traiteurs","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B2Z43","2017-2019",0.65,"dont sous-emploi","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z43","2017-2019",23.1,"Temps complet travaillant plus de 40h par semaine","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z43","2017-2019",2.59,"Temps partiel","Charpentiers (bois)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",0.17,"dont sous-emploi","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",17.76,"Temps complet travaillant plus de 40h par semaine","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z42","2017-2019",0,"Temps partiel","Charpentiers (métal)","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"D2Z40","2017-2019",1.92,"dont sous-emploi","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"D2Z40","2017-2019",31.78,"Temps complet travaillant plus de 40h par semaine","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"D2Z40","2017-2019",3.6,"Temps partiel","Chaudronniers, tôliers, traceurs, serruriers, métalliers, forgerons","D","Mécanique, travail des métaux","D2Z","Ouvriers qualifiés travaillant par formage de métal"
"S1Z80","2017-2019",0.7,"dont sous-emploi","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z80","2017-2019",42,"Temps complet travaillant plus de 40h par semaine","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z80","2017-2019",1.63,"Temps partiel","Chefs cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"B6Z73","2017-2019",0.77,"dont sous-emploi","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z73","2017-2019",41.66,"Temps complet travaillant plus de 40h par semaine","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z73","2017-2019",0.76,"Temps partiel","Chefs de chantier, conducteurs de travaux (non cadres)","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"N0Z91","2017-2019",0.56,"dont sous-emploi","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"N0Z91","2017-2019",61.18,"Temps complet travaillant plus de 40h par semaine","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"N0Z91","2017-2019",8.46,"Temps partiel","Chercheurs (sauf industrie et enseignement supérieur)","N","Études et recherche","N0Z","Personnels d'études et de recherche"
"X0Z01","2017-2019",0.93,"dont sous-emploi","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"X0Z01","2017-2019",79.94,"Temps complet travaillant plus de 40h par semaine","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"X0Z01","2017-2019",14.57,"Temps partiel","Clergé","X","Politique, religion","X0Z","Professionnels de la politique et clergé"
"T0Z","2017-2019",10.6,"dont sous-emploi","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z","2017-2019",40.66,"Temps complet travaillant plus de 40h par semaine","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z","2017-2019",26.41,"Temps partiel","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z60","2017-2019",10.6,"dont sous-emploi","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z60","2017-2019",40.66,"Temps complet travaillant plus de 40h par semaine","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"T0Z60","2017-2019",26.41,"Temps partiel","Coiffeurs, esthéticiens","T","Services aux particuliers et aux collectivités","T0Z","Coiffeurs, esthéticiens"
"R","2017-2019",5.72,"dont sous-emploi","Commerce","R","Commerce",NA,NA
"R","2017-2019",44.27,"Temps complet travaillant plus de 40h par semaine","Commerce","R","Commerce",NA,NA
"R","2017-2019",17.69,"Temps partiel","Commerce","R","Commerce",NA,NA
"U","2017-2019",10.8,"dont sous-emploi","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"U","2017-2019",52.72,"Temps complet travaillant plus de 40h par semaine","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"U","2017-2019",26.18,"Temps partiel","Communication, information, art et spectacle","U","Communication, information, art et spectacle",NA,NA
"T3Z60","2017-2019",5.09,"dont sous-emploi","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z60","2017-2019",50.54,"Temps complet travaillant plus de 40h par semaine","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z60","2017-2019",23.75,"Temps partiel","Concierges","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"A0Z43","2017-2019",8.79,"dont sous-emploi","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z43","2017-2019",34.16,"Temps complet travaillant plus de 40h par semaine","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z43","2017-2019",14.56,"Temps partiel","Conducteurs d'engins agricoles ou forestiers","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"B5Z","2017-2019",1.43,"dont sous-emploi","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z","2017-2019",33.2,"Temps complet travaillant plus de 40h par semaine","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z","2017-2019",1.63,"Temps partiel","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40","2017-2019",1.43,"dont sous-emploi","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40","2017-2019",33.2,"Temps complet travaillant plus de 40h par semaine","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40","2017-2019",1.63,"Temps partiel","Conducteurs d'engins du bâtiment et des travaux publics","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"J3Z41","2017-2019",10.35,"dont sous-emploi","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z41","2017-2019",15.13,"Temps complet travaillant plus de 40h par semaine","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z41","2017-2019",26.09,"Temps partiel","Conducteurs de transport en commun sur route","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",5.11,"dont sous-emploi","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",52.86,"Temps complet travaillant plus de 40h par semaine","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z","2017-2019",12.89,"Temps partiel","Conducteurs de véhicules","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",5.42,"dont sous-emploi","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",76.02,"Temps complet travaillant plus de 40h par semaine","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z40","2017-2019",12.19,"Temps partiel","Conducteurs de véhicules légers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",8.57,"dont sous-emploi","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",30.76,"Temps complet travaillant plus de 40h par semaine","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z42","2017-2019",22.36,"Temps partiel","Conducteurs et livreurs sur courte distance","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",1.44,"dont sous-emploi","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",68.66,"Temps complet travaillant plus de 40h par semaine","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z43","2017-2019",3.04,"Temps partiel","Conducteurs routiers","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",0.49,"dont sous-emploi","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",16.6,"Temps complet travaillant plus de 40h par semaine","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"J3Z44","2017-2019",9.9,"Temps partiel","Conducteurs sur rails et d'engins de traction","J","Transports, logistique et tourisme","J3Z","Conducteurs de véhicules"
"P1Z80","2017-2019",0.92,"dont sous-emploi","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z80","2017-2019",24.24,"Temps complet travaillant plus de 40h par semaine","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z80","2017-2019",15.88,"Temps partiel","Contrôleurs des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"J4Z60","2017-2019",3.18,"dont sous-emploi","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z60","2017-2019",2.04,"Temps complet travaillant plus de 40h par semaine","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z60","2017-2019",11.1,"Temps partiel","Contrôleurs des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"B2Z44","2017-2019",1.82,"dont sous-emploi","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z44","2017-2019",35.54,"Temps complet travaillant plus de 40h par semaine","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"B2Z44","2017-2019",3.39,"Temps partiel","Couvreurs","B","Bâtiment, travaux publics","B2Z","Ouvriers qualifiés du gros œuvre du bâtiment"
"S1Z","2017-2019",8.35,"dont sous-emploi","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z","2017-2019",30.53,"Temps complet travaillant plus de 40h par semaine","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z","2017-2019",20.86,"Temps partiel","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",5.95,"dont sous-emploi","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",32.25,"Temps complet travaillant plus de 40h par semaine","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z40","2017-2019",13.25,"Temps partiel","Cuisiniers","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"V2Z91","2017-2019",5.26,"dont sous-emploi","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z91","2017-2019",61.04,"Temps complet travaillant plus de 40h par semaine","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"V2Z91","2017-2019",23.32,"Temps partiel","Dentistes","V","Santé, action sociale, culturelle et sportive","V2Z","Médecins et assimilés"
"B6Z72","2017-2019",2.69,"dont sous-emploi","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z72","2017-2019",18.56,"Temps complet travaillant plus de 40h par semaine","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"B6Z72","2017-2019",10.73,"Temps partiel","Dessinateurs en bâtiment et en travaux publics","B","Bâtiment, travaux publics","B6Z","Techniciens et agents de maîtrise du bâtiment et des travaux publics"
"D6Z71","2017-2019",0.32,"dont sous-emploi","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z71","2017-2019",19.09,"Temps complet travaillant plus de 40h par semaine","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z71","2017-2019",3.11,"Temps partiel","Dessinateurs en mécanique et travail des métaux","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"C2Z71","2017-2019",0,"dont sous-emploi","Dessinateurs en électricité et en électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z71","2017-2019",9.44,"Temps complet travaillant plus de 40h par semaine","Dessinateurs en électricité et en électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z71","2017-2019",3.73,"Temps partiel","Dessinateurs en électricité et en électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"W0Z91","2017-2019",0.76,"dont sous-emploi","Directeurs d'établissement scolaire et inspecteurs","W","Enseignement, formation","W0Z","Enseignants"
"W0Z91","2017-2019",89.3,"Temps complet travaillant plus de 40h par semaine","Directeurs d'établissement scolaire et inspecteurs","W","Enseignement, formation","W0Z","Enseignants"
"W0Z91","2017-2019",3.43,"Temps partiel","Directeurs d'établissement scolaire et inspecteurs","W","Enseignement, formation","W0Z","Enseignants"
"L6Z","2017-2019",1.28,"dont sous-emploi","Dirigeants d'entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z","2017-2019",91.42,"Temps complet travaillant plus de 40h par semaine","Dirigeants d'entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z","2017-2019",6.28,"Temps partiel","Dirigeants d'entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z00","2017-2019",1.43,"dont sous-emploi","Dirigeants de petites et moyennes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z00","2017-2019",92.21,"Temps complet travaillant plus de 40h par semaine","Dirigeants de petites et moyennes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"L6Z00","2017-2019",6.93,"Temps partiel","Dirigeants de petites et moyennes entreprises","L","Gestion, administration des entreprises","L6Z","Dirigeants d'entreprises"
"V4Z83","2017-2019",4.32,"dont sous-emploi","Educateurs spécialisés","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"V4Z83","2017-2019",20.27,"Temps complet travaillant plus de 40h par semaine","Educateurs spécialisés","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"V4Z83","2017-2019",17.46,"Temps partiel","Educateurs spécialisés","V","Santé, action sociale, culturelle et sportive","V4Z","Professionnels de l'action sociale et de l'orientation"
"L2Z","2017-2019",7.33,"dont sous-emploi","Employés administratifs d'entreprise","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z","2017-2019",12.63,"Temps complet travaillant plus de 40h par semaine","Employés administratifs d'entreprise","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z","2017-2019",24.92,"Temps partiel","Employés administratifs d'entreprise","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"P0Z","2017-2019",3.92,"dont sous-emploi","Employés administratifs de la fonction publique (catégorie C et assimilés)","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z","2017-2019",13.32,"Temps complet travaillant plus de 40h par semaine","Employés administratifs de la fonction publique (catégorie C et assimilés)","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z","2017-2019",20.5,"Temps partiel","Employés administratifs de la fonction publique (catégorie C et assimilés)","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"S2Z60","2017-2019",15.91,"dont sous-emploi","Employés de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z60","2017-2019",20.02,"Temps complet travaillant plus de 40h par semaine","Employés de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z60","2017-2019",35.45,"Temps partiel","Employés de l'hôtellerie","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"P0Z62","2017-2019",1.47,"dont sous-emploi","Employés de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z62","2017-2019",15.2,"Temps complet travaillant plus de 40h par semaine","Employés de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z62","2017-2019",12,"Temps partiel","Employés de la Poste et des télécommunications","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"Q0Z","2017-2019",1.13,"dont sous-emploi","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z","2017-2019",11.86,"Temps complet travaillant plus de 40h par semaine","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z","2017-2019",17.9,"Temps partiel","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z60","2017-2019",1.13,"dont sous-emploi","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z60","2017-2019",11.86,"Temps complet travaillant plus de 40h par semaine","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"Q0Z60","2017-2019",17.9,"Temps partiel","Employés de la banque et des assurances","Q","Banque et assurances","Q0Z","Employés de la banque et des assurances"
"L1Z","2017-2019",3.49,"dont sous-emploi","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z","2017-2019",13.78,"Temps complet travaillant plus de 40h par semaine","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z","2017-2019",22.93,"Temps partiel","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z60","2017-2019",3.49,"dont sous-emploi","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z60","2017-2019",13.78,"Temps complet travaillant plus de 40h par semaine","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"L1Z60","2017-2019",22.93,"Temps partiel","Employés de la comptabilité","L","Gestion, administration des entreprises","L1Z","Employés de la comptabilité"
"R0Z60","2017-2019",8.03,"dont sous-emploi","Employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z60","2017-2019",6.97,"Temps complet travaillant plus de 40h par semaine","Employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"R0Z60","2017-2019",22.54,"Temps partiel","Employés de libre service","R","Commerce","R0Z","Caissiers, employés de libre service"
"T1Z","2017-2019",26.17,"dont sous-emploi","Employés de maison","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z","2017-2019",26.7,"Temps complet travaillant plus de 40h par semaine","Employés de maison","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z","2017-2019",79.69,"Temps partiel","Employés de maison","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z60","2017-2019",26.17,"dont sous-emploi","Employés de maison et personnels de ménage","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z60","2017-2019",26.7,"Temps complet travaillant plus de 40h par semaine","Employés de maison et personnels de ménage","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"T1Z60","2017-2019",79.69,"Temps partiel","Employés de maison et personnels de ménage","T","Services aux particuliers et aux collectivités","T1Z","Employés de maison"
"P0Z61","2017-2019",4.7,"dont sous-emploi","Employés des services au public","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z61","2017-2019",12.84,"Temps complet travaillant plus de 40h par semaine","Employés des services au public","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z61","2017-2019",22.74,"Temps partiel","Employés des services au public","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"T6Z","2017-2019",9.37,"dont sous-emploi","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z","2017-2019",73.87,"Temps complet travaillant plus de 40h par semaine","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z","2017-2019",22.92,"Temps partiel","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z61","2017-2019",9.37,"dont sous-emploi","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z61","2017-2019",73.87,"Temps complet travaillant plus de 40h par semaine","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"T6Z61","2017-2019",22.92,"Temps partiel","Employés des services divers","T","Services aux particuliers et aux collectivités","T6Z","Employés des services divers"
"J5Z62","2017-2019",2.92,"dont sous-emploi","Employés des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z62","2017-2019",10.75,"Temps complet travaillant plus de 40h par semaine","Employés des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z62","2017-2019",19.25,"Temps partiel","Employés des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"S2Z","2017-2019",14.75,"dont sous-emploi","Employés et agents de maîtrise de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z","2017-2019",29.99,"Temps complet travaillant plus de 40h par semaine","Employés et agents de maîtrise de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"S2Z","2017-2019",37.8,"Temps partiel","Employés et agents de maîtrise de l'hôtellerie et de la restauration","S","Hôtellerie, restauration, alimentation","S2Z","Employés et agents de maîtrise de l'hôtellerie et de la restauration"
"M0Z","2017-2019",3.46,"dont sous-emploi","Employés et opérateurs de l'informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z","2017-2019",16.99,"Temps complet travaillant plus de 40h par semaine","Employés et opérateurs de l'informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z","2017-2019",11.66,"Temps partiel","Employés et opérateurs de l'informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z60","2017-2019",3.46,"dont sous-emploi","Employés et opérateurs en informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z60","2017-2019",16.99,"Temps complet travaillant plus de 40h par semaine","Employés et opérateurs en informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"M0Z60","2017-2019",11.66,"Temps partiel","Employés et opérateurs en informatique","M","Informatique et télécommunications","M0Z","Employés et opérateurs de l'informatique"
"W0Z","2017-2019",2.36,"dont sous-emploi","Enseignants","W","Enseignement, formation","W0Z","Enseignants"
"W0Z","2017-2019",51.53,"Temps complet travaillant plus de 40h par semaine","Enseignants","W","Enseignement, formation","W0Z","Enseignants"
"W0Z","2017-2019",14.4,"Temps partiel","Enseignants","W","Enseignement, formation","W0Z","Enseignants"
"W","2017-2019",4.16,"dont sous-emploi","Enseignement, formation","W","Enseignement, formation",NA,NA
"W","2017-2019",49.48,"Temps complet travaillant plus de 40h par semaine","Enseignement, formation","W","Enseignement, formation",NA,NA
